,protName,core,fcc,r,zp,eads,psi,theta,ph,sd,eave
101,1hzh,Ag,111,10.0,-60.0,-155.27051,120.0,55.0,8.5,9.565584000000001,-155.27017884741124
102,1hzh,Ag,111,20.0,-10.0,-158.49268,120.0,65.0,8.5,22.472723100000003,-158.3198584706423
103,1hzh,Ag,111,40.0,-30.0,-153.79183,0.0,130.0,8.5,38.8976346,-153.76706814288357
104,1hzh,Ag,111,20.0,-50.0,-172.18269,5.0,130.0,8.5,12.3867042,-172.1821342522485
105,1hzh,Ag,111,20.0,-60.0,-163.35311,120.0,65.0,8.5,20.489886300000002,-163.3526734641015
106,1hzh,Ag,111,4.0,-60.0,-128.39756,175.0,20.0,8.5,11.6499132,-128.03123504128928
107,1hzh,Ag,111,45.0,0.0,-153.36408,180.0,35.0,8.5,39.8478933,-153.09848310853383
108,1hzh,Ag,111,25.0,0.0,-154.297,5.0,130.0,8.5,11.2359258,-154.2661309129145
109,1hzh,Ag,111,45.0,-50.0,-145.20726,275.0,55.0,8.5,0.9324303000000002,-144.8678946008501
110,1hzh,Ag,111,30.0,-30.0,-165.2731,5.0,130.0,8.5,12.525720900000001,-165.27308842688487
111,1hzh,Ag,111,15.0,-10.0,-167.13833,180.0,30.0,8.5,31.972347,-166.9560489102103
112,1hzh,Ag,111,25.0,-30.0,-163.52478,5.0,130.0,8.5,15.422238300000002,-163.5247377959175
113,1hzh,Ag,111,2.0,-30.0,-108.75202,355.0,170.0,8.5,7.505831100000001,-108.55753773757937
114,1hzh,Ag,111,50.0,-50.0,-150.45021,175.0,35.0,8.5,19.8419136,-150.42193894738975
115,1hzh,Ag,111,8.0,-50.0,-147.97461,85.0,95.0,8.5,16.025142000000002,-147.85948028377615
116,1hzh,Ag,111,40.0,-20.0,-151.66508,175.0,35.0,8.5,14.212621200000003,-151.61633451234644
117,1hzh,Ag,111,40.0,-60.0,-161.45492,80.0,85.0,8.5,32.6610561,-161.45491807560188
118,1hzh,Ag,111,35.0,-10.0,-172.46063,180.0,35.0,8.5,9.455849700000002,-172.4606299999992
119,1hzh,Ag,111,4.0,-10.0,-125.25187,175.0,20.0,8.5,4.991653200000001,-125.251867330469
120,1hzh,Ag,111,8.0,-60.0,-152.6981,85.0,95.0,8.5,8.609424,-152.66600174154235
121,1hzh,Ag,111,10.0,-20.0,-150.34973,15.0,135.0,8.5,8.562487500000001,-150.3497207639346
122,1hzh,Ag,111,10.0,-10.0,-150.92629,15.0,135.0,8.5,12.597059400000001,-150.92622654326814
123,1hzh,Ag,111,30.0,-60.0,-159.05906,80.0,85.0,8.5,35.7637455,-159.05905844550588
124,1hzh,Ag,111,25.0,-50.0,-159.22038,0.0,130.0,8.5,23.621708700000003,-159.21950307982078
125,1hzh,Ag,111,2.0,-50.0,-115.2653,0.0,170.0,8.5,10.721691000000002,-115.26466708739612
126,1hzh,Ag,111,35.0,-20.0,-170.21798,0.0,130.0,8.5,26.524326600000002,-170.09104506281412
127,1hzh,Ag,111,50.0,-40.0,-150.28735,175.0,35.0,8.5,28.734475500000002,-150.26860270016607
128,1hzh,Ag,111,10.0,0.0,-151.11868,180.0,25.0,8.5,48.451191900000005,-151.11759483979785
129,1hzh,Ag,111,8.0,-40.0,-156.44256,175.0,25.0,8.5,9.609059400000001,-156.4425320355588
130,1hzh,Ag,111,30.0,-50.0,-163.82866,0.0,130.0,8.5,11.6765562,-163.8286534519947
131,1hzh,Ag,111,15.0,-20.0,-153.6315,120.0,60.0,8.5,24.328171500000003,-153.61870454786
132,1hzh,Ag,111,45.0,-30.0,-157.26078,0.0,125.0,8.5,32.6062761,-157.04497086415725
133,1hzh,Ag,111,4.0,-30.0,-125.57774,175.0,20.0,8.5,5.1739959,-125.22626639681883
134,1hzh,Ag,111,45.0,-10.0,-155.85433,175.0,35.0,8.5,23.0755272,-155.8542321205656
135,1hzh,Ag,111,25.0,-10.0,-171.9351,0.0,130.0,8.5,13.505710200000001,-171.93448192798053
136,1hzh,Ag,111,15.0,-30.0,-149.33882,175.0,30.0,8.5,13.231486500000003,-149.06817943966306
137,1hzh,Ag,111,40.0,0.0,-152.78817,180.0,35.0,8.5,33.428997,-152.76773260806854
138,1hzh,Ag,111,30.0,0.0,-167.43597,180.0,35.0,8.5,13.6274712,-167.43596814074166
139,1hzh,Ag,111,8.0,0.0,-158.822,180.0,25.0,8.5,17.1642423,-158.71496101515547
140,1hzh,Ag,111,8.0,-30.0,-143.13254,80.0,95.0,8.5,11.7973212,-142.88841041259556
141,1hzh,Ag,111,30.0,-40.0,-166.25435,120.0,70.0,8.5,20.905243200000005,-166.25414010590646
142,1hzh,Ag,111,2.0,-10.0,-109.20087,0.0,170.0,8.5,11.269117500000002,-109.18325365330698
143,1hzh,Ag,111,25.0,-60.0,-156.29478,5.0,130.0,8.5,12.0424368,-156.28129195502245
144,1hzh,Ag,111,2.0,-20.0,-108.25345,0.0,170.0,8.5,8.1839826,-107.54055870281368
145,1hzh,Ag,111,20.0,-20.0,-156.52912,120.0,65.0,8.5,27.917357100000004,-156.45359191665665
146,1hzh,Ag,111,25.0,-20.0,-172.51692,180.0,35.0,8.5,11.995500300000002,-172.51576473771988
147,1hzh,Ag,111,4.0,-20.0,-128.26361,175.0,20.0,8.5,11.467919100000001,-128.2635276227628
148,1hzh,Ag,111,45.0,-20.0,-153.65422,175.0,35.0,8.5,19.0294266,-153.65414139150892
149,1hzh,Ag,111,4.0,0.0,-125.76324,175.0,20.0,8.5,4.3641981,-125.53788440884996
150,1hzh,Ag,111,40.0,-50.0,-167.71096,80.0,85.0,8.5,13.7144718,-167.71095985787963
151,1hzh,Ag,111,50.0,-60.0,-155.77589,175.0,35.0,8.5,18.5710425,-155.77588135169353
152,1hzh,Ag,111,50.0,-20.0,-164.46656,180.0,40.0,8.5,27.030942000000003,-164.46655999001888
153,1hzh,Ag,111,15.0,0.0,-150.3754,175.0,30.0,8.5,17.735946300000002,-150.10175644949226
154,1hzh,Ag,111,20.0,-30.0,-156.64701,120.0,65.0,8.5,21.961077900000003,-156.64685006961258
